% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.396983841e+02 +6.396983841e+02 +1.776083841e+02 +1.776083841e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
8 +5.756088963e+02 +5.756088963e+02 +1.135188963e+02 +1.135188963e+02 +2.2937e-01 -1.3758e+00 +1.1624e+00 -1.0536e-01 +1.0122e+00 +8.9875e-02 +1.6098e+00 -5.1287e-01 -2.1069e-01 +2.3544e+00 -7.7140e-02 +2.6807e-01 -1.1184e+00 -1.8639e+00 -9.4151e-01 -1.0641e+00 +2.2296e-01 +1.2031e+00 -8.8310e-01 +3.9423e-01
21 +5.633375742e+02 +5.633375742e+02 +1.012475742e+02 +1.012475742e+02 -1.2557e+00 -1.6760e+00 +2.0672e-01 -7.0783e-02 +7.9301e-01 -6.7497e-01 +2.4124e+00 -9.1842e-01 +1.2352e+00 +2.4407e+00 +8.1084e-01 -1.2388e+00 -1.0973e+00 -2.7989e+00 -1.4022e+00 -1.3682e+00 -1.0385e+00 +2.1789e+00 -6.6575e-01 +8.5337e-01
32 +5.452400409e+02 +5.452400409e+02 +8.315004090e+01 +8.315004090e+01 -8.1962e-01 -3.2195e-01 -1.3071e-01 +1.7605e+00 +1.1206e+00 +3.0201e-01 +1.1175e+00 -1.2671e+00 +4.5053e-01 +4.5615e+00 +5.1750e-01 -1.8287e+00 -2.6565e+00 -2.4618e+00 -1.9068e+00 -1.6115e+00 -1.0912e+00 +2.6239e+00 +2.0804e+00 +1.8136e-01
35 +5.265613407e+02 +5.265613407e+02 +6.447134066e+01 +6.447134066e+01 -1.5706e+00 +3.1655e-01 -9.9018e-01 +2.0645e+00 -3.3209e-01 +1.9263e-01 +1.3562e+00 -7.2420e-01 +1.4203e+00 +4.7223e+00 -1.4654e-01 -3.0090e-01 -2.1257e+00 -2.2282e+00 +5.3639e-01 -3.4573e+00 -1.5011e+00 +1.6868e+00 +5.9762e-01 +6.9874e-01
59 +5.030629473e+02 +5.030629473e+02 +4.097294733e+01 +4.097294733e+01 -4.6906e-01 -8.5990e-01 -9.8005e-01 +8.0690e-01 -9.2487e-01 +5.7092e-01 +4.5017e-01 +1.7841e+00 +1.3439e+00 +4.0974e+00 -5.1072e-01 -1.1286e+00 -2.2157e+00 -1.8362e+00 +1.3710e-01 -4.8593e+00 -1.0933e+00 +2.1830e+00 -1.5379e-01 +5.4245e-01
67 +4.403412181e+02 +4.403412181e+02 -2.174878191e+01 -2.174878191e+01 -4.0487e-01 +1.2579e+00 -2.7020e+00 -3.4271e-02 -1.1131e+00 +8.3876e-01 +6.8541e-01 +9.1013e-01 +5.1781e-01 +2.7359e+00 -3.8091e-01 -7.4167e-01 -1.5842e+00 -1.4122e+00 +4.9942e-01 -4.4892e+00 -6.1370e-01 +1.3463e+00 +1.3076e+00 +1.4447e+00
79 +4.284586136e+02 +4.284586136e+02 -3.363138640e+01 -3.363138640e+01 -1.1697e+00 +1.9676e+00 -3.5933e+00 -4.3313e-01 -5.6814e-01 +6.7691e-01 +1.1314e+00 +7.2001e-01 +1.4805e+00 +2.9483e+00 +2.2489e-01 -2.1390e+00 -1.7477e+00 -2.0261e+00 -1.2563e-01 -4.0800e+00 -5.9493e-01 +2.2338e+00 +9.3540e-01 +2.9676e+00
88 +4.183496619e+02 +4.183496619e+02 -4.374033807e+01 -4.374033807e+01 +1.2637e-01 +2.2411e+00 -2.4418e+00 -1.3174e+00 -1.9656e+00 +1.5449e+00 +1.9247e+00 +9.7289e-01 +1.7548e+00 +2.4949e+00 +4.3993e-01 -1.2999e+00 -2.3595e-01 -2.7724e+00 +5.1724e-01 -4.4676e+00 -1.7463e+00 +1.8647e+00 +1.1884e+00 +2.6958e+00
97 +3.695425093e+02 +3.695425093e+02 -9.254749071e+01 -9.254749071e+01 +1.4174e-01 +1.9367e+00 -2.2188e+00 -4.5643e-01 -5.7367e-01 +2.2540e+00 +2.1343e+00 +4.5147e-01 +1.7066e+00 +1.6277e+00 -4.2045e-02 -2.9412e+00 -8.5370e-01 -3.1982e+00 +1.1514e+00 -4.5039e+00 -1.0804e+00 +2.6857e+00 +1.3245e+00 +3.0277e+00
112 +3.251162617e+02 +3.251162617e+02 -1.369737383e+02 -1.369737383e+02 +3.4805e-01 +2.1572e+00 -2.3929e-01 +1.1813e-03 +8.1594e-01 +1.1839e+00 +2.6569e+00 +1.4891e+00 +8.7960e-01 +1.6030e+00 -9.2928e-02 -3.5359e+00 -1.2856e+00 -1.3766e+00 +4.0724e-01 -3.3048e+00 -1.1464e+00 +2.5318e+00 +2.0438e+00 +1.3249e+00
123 +2.849981179e+02 +2.849981179e+02 -1.770918821e+02 -1.770918821e+02 +1.0997e+00 +2.3802e+00 -7.1836e-01 +1.4013e+00 +8.2285e-01 +9.0052e-01 +2.4937e+00 +7.1874e-01 +6.9297e-01 +1.9078e+00 +3.4655e-02 -3.8268e+00 -1.0870e+00 -5.4154e-01 +7.1352e-01 -2.7214e+00 -4.9068e-01 +2.6410e+00 +1.1475e+00 +8.8956e-01
182 +2.308089064e+02 +2.308089064e+02 -2.312810936e+02 -2.312810936e+02 +4.9633e-01 +1.9871e+00 -1.4521e+00 +6.5630e-01 +1.1513e+00 +1.0461e+00 +2.0208e+00 +1.8950e+00 +7.4685e-01 +1.2689e+00 +5.9973e-01 -4.4706e+00 -7.0200e-01 -2.0318e+00 +3.7208e-01 -3.0458e+00 -1.3658e-01 +2.5912e+00 +2.4366e+00 +1.7861e+00
