% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.960016909e+06 +4.960016909e+06 +4.959961969e+06 +4.959961969e+06 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 +4.778670904e+06 +4.778670904e+06 +4.778615964e+06 +4.778615964e+06 +3.7818e-01 -1.2936e+00 -4.7593e-01 -5.8422e-01 -7.8761e-01 +8.5073e-01 +1.3707e+00 -3.2718e-02 +9.4681e-01 -1.7230e-01 -1.5581e+00 -1.5726e+00 +2.8378e+00 +2.5043e-01 +8.4103e-01 -4.7076e-01 -1.3297e+00 +8.3831e-02 -3.4598e-01 -4.4757e-01
8 +4.424145389e+06 +4.424145389e+06 +4.424090449e+06 +4.424090449e+06 -1.2371e+00 +1.5018e-01 +2.3852e-02 -2.5541e-01 +4.2728e-01 -1.3083e+00 -1.6149e-01 -1.5133e-01 -6.0644e-01 +9.1227e-01 +3.2156e-01 +1.1313e+00 -2.4073e+00 -9.7071e-01 -3.1288e-02 -1.3117e+00 +2.8270e-01 -6.0966e-01 +1.7406e-01 -1.2328e+00
12 +2.413819301e+06 +2.413819301e+06 +2.413764361e+06 +2.413764361e+06 -1.8248e+00 +1.6644e-01 +2.1565e-01 -3.0386e-01 +5.9066e-01 +5.5666e-01 +1.0830e+00 -5.8877e-01 -1.1181e+00 +1.3249e+00 +5.3687e-01 +5.0038e-01 -2.6237e+00 -1.1799e+00 -1.6893e-01 -1.8304e+00 +9.3146e-01 -7.4694e-01 -4.8815e-01 -1.2124e+00
17 +2.348535578e+06 +2.348535578e+06 +2.348480638e+06 +2.348480638e+06 -2.6083e+00 -5.6417e-01 -3.0215e-01 -8.6212e-01 +1.0685e+00 +9.1659e-02 -9.5667e-01 -1.1475e+00 -9.7625e-01 +2.0199e+00 +8.4809e-01 +1.6634e+00 -2.2933e+00 -2.1767e+00 -2.5734e-01 -2.4683e+00 -7.9093e-01 +4.8736e-01 +1.5772e+00 -2.4762e+00
19 +1.226823895e+06 +1.226823895e+06 +1.226768955e+06 +1.226768955e+06 -3.0141e+00 -3.4158e-01 -4.5763e-02 +1.9832e-01 +1.7466e+00 -2.4500e+00 +4.3813e-01 +3.0985e-01 -1.4708e+00 +3.4331e+00 -3.6115e-01 +1.3640e+00 -3.6940e+00 -2.9156e+00 -7.0790e-02 -2.5138e+00 +8.8435e-01 -1.0975e-01 +4.6907e-01 -1.5774e+00
36 +1.052922815e+06 +1.052922815e+06 +1.052867875e+06 +1.052867875e+06 -1.2520e+00 -1.1666e+00 +5.3993e-01 +4.5900e-01 +8.6433e-01 -2.5307e+00 +1.3010e+00 +1.1185e-01 -2.0017e+00 +2.8111e+00 +2.9565e-01 +1.9810e+00 -3.5731e+00 -2.7967e+00 -1.2356e+00 -3.0011e+00 +1.3487e+00 +8.6556e-02 -5.4888e-01 -4.6850e-01
39 +9.624458528e+05 +9.624458528e+05 +9.623909128e+05 +9.623909128e+05 -1.6390e+00 +6.4065e-01 +6.9260e-01 +3.2065e+00 +2.7228e+00 -3.5705e+00 +8.1403e-01 +1.2221e+00 -3.0599e+00 +4.1505e+00 +5.8899e-02 +3.1169e+00 -4.1641e+00 -4.5680e+00 -1.5590e+00 -3.1477e+00 +3.1124e+00 -9.8563e-01 +6.3064e-02 -7.8637e-01
156 +6.489470274e+05 +6.489470274e+05 +6.488920874e+05 +6.488920874e+05 -4.6187e+00 -1.5140e+00 -6.6534e-01 +3.8220e-01 +1.6263e+00 +1.0775e+00 +1.6311e+00 -8.2784e-01 +3.5641e-01 -8.1075e-01 -1.0565e+00 -1.2503e-01 -2.3147e+00 -7.0176e-01 -2.8763e+00 -3.8653e-01 +1.0686e+00 +1.0463e+00 +3.2479e-01 -1.6727e-02
259 +6.412582241e+05 +6.412582241e+05 +6.412032841e+05 +6.412032841e+05 -4.5713e+00 +6.5133e-02 +2.7965e-01 +6.7327e-01 +6.8413e-01 -5.3956e-01 +9.2380e-01 -1.4469e+00 -7.5018e-01 +1.4138e+00 +1.1855e+00 -8.1241e-01 +9.6172e-01 -1.7201e+00 -3.1865e-01 -9.2259e-01 +1.8891e+00 -2.4780e-03 +2.7147e+00 -5.3988e-01
285 +6.067435852e+05 +6.067435852e+05 +6.066886452e+05 +6.066886452e+05 -6.8834e+00 +1.5234e+00 -4.7754e-01 +3.2608e-01 +9.3104e-01 -1.2165e+00 +9.7353e-01 -8.0950e-01 +1.1268e+00 +7.9257e-01 +1.0650e+00 -1.8269e+00 +1.2285e+00 -4.1874e+00 +2.0560e+00 +5.8494e-01 +2.8481e+00 +1.8977e+00 +4.1566e+00 -9.1039e-01
