% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.581765120e+02 +1.581765120e+02 +1.412365120e+02 +1.412365120e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
5 +1.205944323e+02 +1.205944323e+02 +1.036544323e+02 +1.036544323e+02 -7.1840e-01 -3.4901e-01 -2.4236e+00 +4.3977e-01 +1.7436e-01 +9.2277e-01 +4.2205e-01 -4.9480e-01 -9.1685e-01 +7.0517e-01 +6.0430e-01 -3.3711e-01 -1.4068e+00 -4.7641e-01 +4.4027e-02 +1.2717e+00 -3.2755e-02 -1.5214e+00 -1.2626e+00 +5.2480e-01
12 +1.167286147e+02 +1.167286147e+02 +9.978861472e+01 +9.978861472e+01 -1.7436e+00 -1.4122e-01 -2.1369e+00 +9.1380e-01 +1.8571e+00 +1.4317e+00 -6.2307e-01 -4.0275e-02 -8.8303e-01 +7.1101e-01 +7.7707e-01 -3.7209e-02 -1.0878e+00 -1.3330e+00 -1.1464e-01 +1.3425e+00 -5.8797e-01 -1.3618e+00 -1.3822e+00 +1.6667e+00
20 +9.848855556e+01 +9.848855556e+01 +8.154855556e+01 +8.154855556e+01 -5.3395e-01 -6.9971e-01 -1.4442e+00 -4.6855e-01 +2.1228e+00 +3.8557e-01 +1.4479e+00 -1.0813e+00 -2.7939e+00 +1.5405e+00 +1.6181e+00 -1.2983e+00 -2.3834e+00 -1.6356e+00 +5.4940e-01 +1.5038e+00 -8.7209e-01 -2.8869e+00 -2.4074e+00 +2.1908e-01
23 +8.546205681e+01 +8.546205681e+01 +6.852205681e+01 +6.852205681e+01 -1.3389e+00 -3.8134e-01 -1.2664e+00 +9.0412e-01 +3.9897e+00 +1.1279e+00 +1.9838e+00 -5.4224e-01 -3.4573e+00 +2.3837e+00 +2.1408e+00 +7.3618e-02 -1.4491e+00 -2.7519e+00 +1.2057e+00 +4.4131e-01 -2.2361e+00 -3.2788e+00 -2.6151e+00 -1.6260e+00
33 +6.395974919e+01 +6.395974919e+01 +4.701974919e+01 +4.701974919e+01 -1.5515e+00 +1.1448e-01 -1.0961e+00 +6.2477e-02 +4.9692e+00 +2.4386e-01 +1.4742e+00 -1.8509e-01 -3.1597e+00 +2.2887e+00 +3.4011e+00 +3.6243e-02 -7.5275e-01 -3.3526e+00 +1.5488e+00 +8.7289e-01 -3.6627e-01 -4.5106e+00 -2.2797e+00 +8.7619e-02
51 +5.987193670e+01 +5.987193670e+01 +4.293193670e+01 +4.293193670e+01 -9.0779e-01 -1.9912e-02 -2.0127e+00 +1.0752e-01 +3.7948e+00 +1.0107e+00 +2.9111e+00 -2.3491e-01 -3.1517e+00 +1.1809e+00 +5.4828e+00 +3.3764e-01 +9.7673e-01 -4.4508e+00 +5.8415e-01 +2.8310e-01 +2.2623e-01 -4.0300e+00 -2.0322e+00 +1.1026e+00
73 +5.074694195e+01 +5.074694195e+01 +3.380694195e+01 +3.380694195e+01 +6.1938e-01 -3.0947e-01 -3.0104e+00 +8.4113e-01 +4.3521e+00 +1.3561e+00 +2.8754e+00 -1.6138e+00 -4.0255e+00 +2.3268e-01 +2.7861e+00 -3.3135e-01 +8.2640e-01 -2.6796e+00 +3.8397e-01 +1.7823e+00 +4.0221e-01 -8.0522e-01 -3.1106e+00 +1.7123e+00
85 +4.264604859e+01 +4.264604859e+01 +2.570604859e+01 +2.570604859e+01 +1.1270e-01 -1.9317e-01 -3.9312e+00 +1.6851e+00 +3.4751e+00 +1.7501e+00 +1.7036e+00 -1.0150e+00 -3.5690e+00 -8.0912e-01 +2.6177e+00 +1.5941e-01 +1.2999e+00 -2.8264e+00 -2.2534e-01 +2.0836e-01 +7.1849e-01 +4.5585e-01 -2.1714e+00 +1.4728e+00
93 +4.080856484e+01 +4.080856484e+01 +2.386856484e+01 +2.386856484e+01 +1.8350e+00 -8.0732e-01 -3.1759e+00 +1.0111e+00 +3.3238e+00 +8.3294e-01 +2.3324e+00 -1.4962e+00 -3.5612e+00 +2.7507e-01 +3.8586e+00 +1.4494e-01 +1.5050e+00 -3.0951e+00 +6.5668e-01 +2.7481e-01 +7.1800e-01 -8.8391e-02 -3.1501e+00 +2.7650e+00
95 +3.713520654e+01 +3.713520654e+01 +2.019520654e+01 +2.019520654e+01 +3.2604e-01 +2.9199e-01 -3.5751e+00 +3.0958e+00 +4.4080e+00 +1.4809e+00 +1.2997e+00 -1.2504e+00 -2.5947e+00 -8.0225e-01 +1.8844e+00 +1.0158e-02 +5.0106e-01 -3.9795e+00 +1.3040e-01 +3.2912e-01 +1.5898e+00 +2.1754e-01 -2.5138e+00 +1.8262e+00
113 +3.358351532e+01 +3.358351532e+01 +1.664351532e+01 +1.664351532e+01 +1.3027e+00 -7.0355e-02 -2.2288e+00 +1.3017e-02 +3.0707e+00 +2.1585e-01 +1.4496e+00 -6.5259e-01 -1.8627e+00 -1.0357e+00 +3.0943e+00 -9.2471e-01 +1.8903e-01 -2.2307e+00 +2.9445e-01 +9.5236e-01 +9.2931e-01 -1.9448e-01 -2.5606e+00 +2.3991e+00
133 +2.925188732e+01 +2.925188732e+01 +1.231188732e+01 +1.231188732e+01 +1.1889e+00 -1.0558e-01 -2.2261e+00 +7.9323e-01 +3.8212e+00 -3.1447e-02 +7.5897e-01 -1.3999e+00 -3.3234e+00 -2.3316e+00 +4.1576e+00 -1.9017e+00 +7.4163e-01 -1.4581e+00 +1.0157e+00 +1.9203e+00 +2.5916e+00 -4.0544e-01 -2.7240e+00 +3.5896e+00
145 +2.684708079e+01 +2.684708079e+01 +9.907080793e+00 +9.907080793e+00 +1.2842e+00 +2.2912e-01 -2.0516e+00 +1.1267e+00 +3.6387e+00 +7.0990e-01 +1.7949e+00 -9.2107e-01 -3.0411e+00 -6.0649e-01 +4.0191e+00 -1.3526e+00 +9.7415e-01 -2.7054e+00 +2.2649e+00 +2.5564e+00 +3.0105e+00 +1.3631e+00 -1.5191e+00 +4.0804e+00
155 +2.281413783e+01 +2.281413783e+01 +5.874137827e+00 +5.874137827e+00 +1.7536e+00 +6.4656e-01 -2.6113e+00 +2.1589e+00 +2.7133e+00 -2.2006e-01 +1.4714e+00 -8.3967e-01 -2.7886e+00 -1.2674e+00 +4.4413e+00 -8.0206e-01 +2.0952e+00 -2.6275e+00 +2.1040e+00 +2.6521e+00 +3.0176e+00 +6.1781e-01 -5.0089e-02 +4.7962e+00
160 +1.884132103e+01 +1.884132103e+01 +1.901321031e+00 +1.901321031e+00 +2.4441e+00 +8.2026e-01 -1.5390e+00 +1.5238e+00 +2.9854e+00 +1.2843e+00 +1.8063e+00 -1.2733e+00 -2.5410e+00 -1.7992e+00 +3.8671e+00 -6.4291e-01 +2.1178e-01 -1.3019e+00 +1.8052e+00 +3.2157e+00 +2.9381e+00 +1.9880e+00 -1.4990e+00 +3.5572e+00
165 +1.508926984e+01 +1.508926984e+01 -1.850730163e+00 -1.850730163e+00 +1.9140e+00 +4.0327e-01 -8.5894e-01 +1.4157e+00 +3.0027e+00 +1.4131e+00 +2.3979e+00 -1.5980e+00 -2.2222e+00 -1.3213e+00 +3.9999e+00 -9.4036e-01 +3.1069e-01 -1.5052e+00 +2.4328e+00 +3.1870e+00 +2.3405e+00 +6.6562e-01 -1.3770e+00 +2.8897e+00
398 +1.309359865e+01 +1.309359865e+01 -3.846401352e+00 -3.846401352e+00 +1.9911e+00 +1.9789e+00 -1.6385e+00 +9.3052e-01 +2.8485e+00 +1.0230e+00 +1.9657e+00 -1.9557e+00 -1.6898e+00 -1.0018e+00 +2.8702e+00 -1.5631e+00 -1.9512e-01 -1.1941e+00 +2.2407e+00 +2.8530e+00 +4.1322e+00 -2.4605e-01 -1.2460e-02 +2.3032e+00
422 +1.096448117e+01 +1.096448117e+01 -5.975518829e+00 -5.975518829e+00 +2.0124e+00 +1.2083e+00 -1.9468e+00 +4.4440e-01 +3.5100e+00 +2.4196e-01 +1.3000e+00 -1.2592e+00 -2.3949e+00 -8.3795e-01 +3.9620e+00 -1.5541e+00 +2.0340e-01 -8.9822e-01 +2.4161e+00 +2.9719e+00 +3.6267e+00 +1.0047e-01 -8.2678e-01 +1.8281e+00
428 +1.015002858e+01 +1.015002858e+01 -6.789971423e+00 -6.789971423e+00 +1.9888e+00 +1.4797e+00 -1.8256e+00 +1.4329e+00 +3.5338e+00 +8.4289e-01 +1.5291e+00 -1.9132e+00 -2.0119e+00 -4.3454e-01 +4.1373e+00 -1.6759e+00 -2.7246e-01 -1.1521e+00 +2.5768e+00 +2.8876e+00 +3.5826e+00 +9.1552e-02 -3.4424e-01 +2.5179e+00
432 +9.754091494e+00 +9.754091494e+00 -7.185908506e+00 -7.185908506e+00 +2.0901e+00 +1.5937e+00 -1.9585e+00 +1.4304e+00 +3.4433e+00 +7.1635e-01 +1.5038e+00 -1.8144e+00 -1.8966e+00 -2.9607e-01 +3.9815e+00 -1.7445e+00 -6.0682e-01 -1.0808e+00 +2.8587e+00 +2.8560e+00 +3.5927e+00 -1.0198e-01 -5.4825e-01 +2.4288e+00
442 +7.567453523e+00 +7.567453523e+00 -9.372546477e+00 -9.372546477e+00 +1.7246e+00 +1.8026e+00 -2.3231e+00 +1.7127e+00 +3.5943e+00 +8.0710e-01 +1.5389e+00 -1.5953e+00 -1.6978e+00 -4.7143e-01 +4.4180e+00 -1.7969e+00 -1.3442e+00 -1.1198e+00 +2.9758e+00 +3.4885e+00 +3.8919e+00 +5.8576e-02 -4.6719e-01 +2.4345e+00
491 +6.888409584e+00 +6.888409584e+00 -1.005159042e+01 -1.005159042e+01 +2.1404e+00 +1.5781e+00 -1.9164e+00 +2.0929e+00 +2.7008e+00 +5.7181e-01 +1.4236e+00 -1.9884e+00 -9.7654e-01 -6.8582e-01 +3.9210e+00 -1.0266e+00 -9.4492e-01 -1.4164e+00 +2.3945e+00 +3.4802e+00 +4.0149e+00 -2.8366e-01 +2.7972e-02 +2.9509e+00
