% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.288577618e+08 +4.288577618e+08 +4.288571407e+08 +4.288571407e+08 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
5 +1.987377010e+08 +1.987377010e+08 +1.987370799e+08 +1.987370799e+08 +2.1097e+00 +4.0786e-01 -9.9270e-01 +9.7722e-01 -9.0303e-01 -1.0581e-01 -4.0149e-01 +3.9882e-01 +4.6499e-01 +7.7288e-01 -3.0252e-01 -2.0254e-01 +1.0583e+00 +2.1633e+00 -8.9102e-01 -1.3633e+00 +6.0680e-01 +1.1254e-01 -4.8449e-01 +2.3450e-01
15 +1.163241476e+08 +1.163241476e+08 +1.163235265e+08 +1.163235265e+08 +1.8274e+00 +1.5742e+00 +5.8096e-01 +5.1015e-01 -1.3412e+00 -4.5174e-01 -5.1286e-01 +2.6412e-01 +8.9103e-01 +9.0883e-01 +7.4706e-01 +1.7125e-01 +1.9618e+00 +2.4418e+00 -4.3855e-01 -1.2057e+00 +2.6582e-01 +3.2914e-01 -5.0889e-01 +1.9772e+00
29 +1.109295109e+08 +1.109295109e+08 +1.109288898e+08 +1.109288898e+08 +2.4686e+00 +3.0241e+00 +1.0131e+00 +4.2322e-01 -1.4015e+00 -6.8878e-01 -6.4216e-03 +1.0016e-01 +2.2131e+00 +5.1189e-01 +2.1148e-01 +4.0572e-01 +2.4608e+00 +6.3831e-01 +1.1589e-01 -1.0776e+00 -1.4610e+00 +7.5690e-01 -1.4852e+00 +2.6786e+00
60 +1.071711690e+08 +1.071711690e+08 +1.071705479e+08 +1.071705479e+08 +6.1132e-01 +3.9639e+00 +1.4917e+00 -9.7092e-01 -7.4378e-01 -6.0379e-01 +1.1796e+00 -1.2488e+00 +2.1366e+00 -3.9530e-01 -9.8937e-01 -1.4971e+00 +2.0624e+00 -1.3269e+00 -9.1224e-02 +1.4344e+00 +3.8564e-01 +7.4223e-01 -4.2840e-01 +1.8344e+00
62 +7.776328233e+07 +7.776328233e+07 +7.776266122e+07 +7.776266122e+07 +1.1328e+00 +4.7810e+00 +2.3102e+00 -1.5216e+00 -2.2561e-01 -1.9323e-01 +1.9533e+00 -1.3683e+00 +3.5444e+00 -1.2137e+00 -2.0585e-01 -4.2308e-01 +3.2760e+00 -9.6466e-01 -3.8247e-01 -7.7458e-02 +4.9928e-02 +5.0011e-01 -5.1183e-01 +6.1208e-01
76 +7.203921943e+07 +7.203921943e+07 +7.203859832e+07 +7.203859832e+07 +5.4091e-01 +6.0215e+00 +2.1574e+00 -9.4304e-01 -2.1660e-01 -1.0250e+00 +8.5825e-01 -2.0360e+00 +3.1769e+00 -1.3435e+00 -1.0734e-01 +2.4221e-01 +3.4071e+00 +4.1828e-01 -1.7007e-01 +3.8742e-01 +1.3264e+00 +5.6720e-01 -7.0363e-01 +1.3780e+00
77 +5.786929199e+07 +5.786929199e+07 +5.786867088e+07 +5.786867088e+07 +7.9785e-01 +4.2208e+00 +1.3486e+00 -1.8389e+00 -5.7558e-01 -5.6959e-01 +1.2822e+00 -1.3438e+00 +2.5899e+00 -1.7343e+00 -4.5261e-02 -1.5499e-01 +3.0975e+00 -1.2833e+00 -4.5707e-01 -1.5182e+00 -1.7747e-01 +6.7082e-01 +6.3329e-01 +2.8892e-01
101 +5.167568983e+07 +5.167568983e+07 +5.167506872e+07 +5.167506872e+07 +8.6020e-01 +3.6548e+00 +3.6794e-01 -2.2235e+00 -1.9399e+00 -9.1006e-01 +1.3837e+00 -1.5118e+00 +1.2417e+00 -7.6278e-01 -2.6453e-01 +5.5322e-01 +1.8759e+00 -1.9452e+00 +1.2466e+00 -2.4136e+00 -1.8217e-01 +8.7487e-01 +7.5540e-01 +1.6730e+00
109 +4.829262911e+07 +4.829262911e+07 +4.829200800e+07 +4.829200800e+07 +1.9041e-01 +4.3429e+00 +1.6418e-01 -1.6288e+00 -2.2538e+00 -1.5787e+00 +1.1795e+00 -7.9678e-01 +1.3726e+00 -7.5284e-01 +3.6480e-02 -2.4336e-01 +1.3313e+00 -1.5152e+00 +1.5233e+00 -2.2780e+00 +1.4176e-01 +1.8536e+00 +1.3094e+00 +1.0566e+00
114 +4.369686196e+07 +4.369686196e+07 +4.369624085e+07 +4.369624085e+07 -4.2279e-01 +5.3884e+00 +2.1154e-01 -3.1847e+00 -3.3584e+00 -2.3768e+00 +1.0808e+00 -9.1727e-01 +1.2289e+00 +6.1635e-01 -2.8366e-01 +8.7357e-01 +1.0070e+00 -1.2113e+00 +1.1188e+00 -3.3697e+00 +3.8402e-01 +2.1344e+00 +2.9463e+00 +1.7421e+00
121 +4.153302476e+07 +4.153302476e+07 +4.153240365e+07 +4.153240365e+07 +7.7730e-01 +4.9710e+00 +5.8222e-01 -2.6922e+00 -2.1961e+00 -1.7952e+00 +1.8430e+00 -1.5978e+00 +2.3208e+00 -1.6700e+00 -4.5687e-01 -8.3748e-01 +1.6506e+00 -3.9931e-01 +1.3908e+00 -2.7601e+00 +1.2155e-01 +1.3686e+00 +1.3881e+00 +1.2200e+00
129 +3.399016088e+07 +3.399016088e+07 +3.398953977e+07 +3.398953977e+07 +5.6675e-01 +4.8397e+00 +6.5176e-01 -3.3464e+00 -1.9632e+00 -8.7495e-01 +1.6815e+00 -2.0434e+00 +2.1572e+00 -1.2415e+00 -8.0369e-01 -4.0271e-01 +2.3805e+00 -3.0612e-01 +2.2382e+00 -2.4354e+00 +2.1347e-01 +1.0591e+00 +2.7278e+00 -2.8863e-01
143 +3.134288621e+07 +3.134288621e+07 +3.134226510e+07 +3.134226510e+07 -3.3251e-01 +3.6653e+00 +2.7766e-01 -2.4131e+00 -1.0759e+00 -1.1192e+00 +1.4672e+00 -4.3013e-01 +1.9151e+00 -9.3236e-01 -1.6120e+00 -8.7209e-01 +2.5732e+00 -1.0187e-01 +2.2615e+00 -2.3063e+00 +3.9517e-01 +1.4107e+00 +2.1261e+00 -1.2889e+00
155 +3.014109210e+07 +3.014109210e+07 +3.014047099e+07 +3.014047099e+07 -9.9245e-01 +3.6115e+00 +3.5647e-01 -2.6501e+00 -6.0556e-01 -1.4064e+00 +1.7588e+00 -4.4568e-01 +1.4699e+00 -1.3528e-01 -1.2002e+00 -4.6541e-01 +2.1067e+00 +2.2522e-01 +2.7575e+00 -4.0087e+00 -8.2430e-01 +1.8751e+00 +1.8952e+00 -1.0723e+00
158 +2.765355037e+07 +2.765355037e+07 +2.765292926e+07 +2.765292926e+07 +5.8860e-01 +3.9260e+00 +1.9404e+00 -2.7721e+00 -1.2593e+00 -1.3934e+00 +1.4848e+00 -4.6650e-01 +2.6134e+00 -9.0089e-01 -1.2682e+00 -3.4528e-01 +3.5124e+00 +9.0993e-01 +2.7736e+00 -2.1864e+00 +6.3118e-01 +1.6363e+00 +2.7171e+00 -1.1842e+00
178 +2.695616965e+07 +2.695616965e+07 +2.695554854e+07 +2.695554854e+07 +1.1227e+00 +4.1368e+00 +1.3931e+00 -2.7438e+00 -1.3278e+00 -1.6379e+00 +2.5439e+00 +1.4537e-01 +2.5351e+00 -5.0252e-01 -6.3103e-01 -1.6469e-01 +2.3115e+00 +6.4965e-01 +3.0849e+00 -1.7530e+00 +6.8606e-01 +1.8342e+00 +2.1069e+00 -1.4454e+00
195 +2.433047254e+07 +2.433047254e+07 +2.432985143e+07 +2.432985143e+07 +6.6730e-01 +4.4031e+00 +1.4216e+00 -2.0845e+00 -2.9391e+00 -3.0474e+00 +2.8489e+00 +1.6689e-01 +2.5825e+00 +1.8245e-01 -7.6883e-02 +3.5275e-01 +2.7910e+00 +1.2638e+00 +2.7409e+00 -2.6654e+00 +2.0308e-01 +1.7562e+00 +9.2950e-01 -1.0663e+00
200 +1.941510321e+07 +1.941510321e+07 +1.941448210e+07 +1.941448210e+07 +7.8060e-01 +4.5831e+00 +7.1100e-01 -1.8492e+00 -1.8482e+00 -2.0668e+00 +1.6765e+00 -9.5592e-02 +2.1710e+00 -1.0489e-01 -5.8766e-01 +9.5612e-01 +3.4910e+00 +4.2959e-01 +2.7505e+00 -2.1275e+00 +4.2552e-01 +1.6885e+00 +2.3349e+00 -2.2108e+00
202 +1.875614421e+07 +1.875614421e+07 +1.875552310e+07 +1.875552310e+07 -6.6815e-01 +4.0271e+00 +4.5382e-01 -2.0516e+00 -8.1865e-01 -1.6792e+00 +9.8116e-01 -2.7590e-01 +1.7157e+00 -8.8889e-01 -1.6050e-01 +8.7248e-01 +3.1260e+00 -1.3343e-01 +2.4741e+00 -2.3334e+00 +5.3234e-01 +1.4460e+00 +2.7923e+00 -1.9884e+00
