% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.100943907e+07 +1.100943907e+07 +1.100922919e+07 +1.100922919e+07 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 +6.534529420e+06 +6.534529420e+06 +6.534319540e+06 +6.534319540e+06 +1.0176e+00 +2.2107e-01 +1.6207e-02 -6.2624e-01 -1.6895e-01 -5.7609e-01 +5.1862e-01 +7.0688e-01 +3.4783e-01 +1.1589e+00 +1.4201e+00 -2.1928e-01 +2.6645e-01 -1.6968e+00 +2.5070e-01 +7.4766e-01 -1.3272e+00 -4.0999e-02 -5.0107e-01 +2.9815e+00
5 +2.787712152e+06 +2.787712152e+06 +2.787502272e+06 +2.787502272e+06 -1.3095e+00 +5.3488e-01 -2.4443e+00 +9.5942e-01 +1.3251e+00 +4.8660e-01 -2.4239e-01 -3.7864e-02 +2.1494e-01 +6.2820e-01 +1.8564e+00 +1.2973e+00 +1.8478e+00 +1.3387e+00 -1.1642e+00 -1.2273e+00 -7.5524e-01 +1.5248e+00 -1.0752e+00 +1.9344e+00
15 +2.648733127e+06 +2.648733127e+06 +2.648523247e+06 +2.648523247e+06 -9.0940e-01 +1.6970e+00 -1.5311e+00 -8.3397e-01 +2.8733e+00 +3.8958e-01 -1.5006e+00 -2.9973e-01 -3.4642e-01 +1.2575e-01 +2.0971e+00 +1.3014e+00 +2.4483e+00 +2.2564e+00 +1.7208e-01 -9.7496e-01 +4.0980e-01 +1.8950e+00 -1.9185e+00 +1.4701e+00
16 +1.545180039e+06 +1.545180039e+06 +1.544970159e+06 +1.544970159e+06 -1.9181e+00 -2.2977e-02 -2.9270e+00 +9.5429e-01 +2.7583e+00 -4.6030e-01 -7.7052e-01 -1.1075e+00 +1.7632e+00 -3.2903e-01 +1.3807e+00 +1.7398e+00 +2.4437e+00 -1.7429e-01 -2.2142e+00 -8.5137e-01 -1.3111e+00 +2.3201e+00 -1.3628e+00 +2.2379e+00
49 +1.207106989e+06 +1.207106989e+06 +1.206897109e+06 +1.206897109e+06 -5.6715e-01 +8.3996e-01 -1.0020e+00 -2.5867e+00 +6.3934e+00 +1.3207e-01 -2.3693e+00 -1.2765e+00 +2.7586e+00 +2.5246e+00 +4.8107e-01 +5.3633e-01 -8.8757e-01 +5.4960e+00 -3.6062e+00 -2.5772e+00 -2.3245e+00 +3.0865e+00 -1.9215e+00 +2.0985e+00
270 +9.798550300e+05 +9.798550300e+05 +9.796451500e+05 +9.796451500e+05 +3.9957e+00 +1.7781e+00 +6.5163e+00 +4.2787e+00 +3.9404e+00 +8.3290e+00 -1.2888e+00 -1.0305e+00 +4.5961e+00 +7.0431e-01 +6.6053e+00 +3.4717e+00 +5.2198e-01 -5.6743e-01 -3.3842e+00 -5.5972e+00 -4.2437e+00 +2.5323e+00 -1.5253e+00 +1.9150e+00
287 +9.612057464e+05 +9.612057464e+05 +9.609958664e+05 +9.609958664e+05 +8.2863e+00 +2.0273e+00 +3.6379e+00 +1.3756e+00 +5.6985e+00 +7.7121e+00 -1.6706e+00 -4.8113e+00 +2.7624e+00 +9.5180e-01 +3.8016e+00 +3.4953e+00 -5.7288e-01 -5.3064e-01 -5.3318e+00 -5.0389e+00 -2.1032e+00 +3.7500e+00 -2.4914e+00 +2.2101e+00
291 +6.836830138e+05 +6.836830138e+05 +6.834731338e+05 +6.834731338e+05 +6.5574e+00 +9.6858e-01 +6.2201e+00 +6.8456e-01 +4.8525e+00 +3.3844e+00 +1.5534e+00 -4.0678e+00 +2.7037e+00 +1.5062e+00 +1.1390e+00 +1.9423e+00 -2.1048e+00 -2.2804e+00 -2.2321e+00 -5.5303e+00 -2.3706e+00 +3.6027e+00 -1.8672e+00 +1.9109e+00
402 +3.037697359e+05 +3.037697359e+05 +3.035598559e+05 +3.035598559e+05 +4.5987e+00 -2.0761e+00 +5.1983e+00 -2.3509e+00 +4.3717e+00 +2.7593e+00 +6.0093e-01 -5.8162e-01 +1.1053e+00 +5.0281e+00 -1.9126e+00 +4.2251e+00 -1.4364e+00 -1.4065e+00 -2.3117e+00 -3.6770e+00 -3.5366e+00 +3.3819e+00 -2.5398e+00 +2.0562e+00
635 +2.943155486e+05 +2.943155486e+05 +2.941056686e+05 +2.941056686e+05 +7.7095e+00 +1.9732e+00 +6.0561e+00 -1.4251e+01 +4.8159e+00 -3.8100e+00 -3.2674e+00 -3.1512e+00 -1.1731e+00 +3.5704e+00 +6.7493e+00 +2.2394e+00 +5.9288e+00 -7.2532e-01 -1.4721e+00 -2.3270e+00 -3.7084e+00 +3.3320e+00 -2.1245e+00 +1.9988e+00
