% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.287602554e+01 +8.287602554e+01 -9.171239745e+02 -9.171239745e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 +7.745577577e+01 +7.745577577e+01 -9.225442242e+02 -9.225442242e+02 -1.6004e+00 -7.1975e-01 -5.5495e-01 -2.1990e-01 +1.0860e+00 -2.9478e-01 +5.2036e-01 -4.8690e-01 +8.4310e-01 +4.2945e-01 +2.1434e+00 +1.8263e+00 +1.1579e+00 -2.2763e-01 +6.9679e-01 -4.3938e-01 -2.3192e-01 +5.6586e-01 +2.9454e-01 -2.5020e+00
15 +7.387512439e+01 +7.387512439e+01 -9.261248756e+02 -9.261248756e+02 -3.2689e+00 -9.1892e-01 -1.3132e-01 -5.2375e-01 -1.4772e+00 +2.1333e-03 -5.4267e-01 -2.5104e+00 +2.6315e-01 +2.0862e-01 +2.4288e+00 +1.0400e+00 +8.3346e-03 +1.0971e+00 +6.2735e-01 -1.8246e+00 +3.4439e-01 +2.7768e-01 -3.1751e-01 -1.0049e+00
26 +7.212201433e+01 +7.212201433e+01 -9.278779857e+02 -9.278779857e+02 -2.9935e+00 -1.3836e+00 +4.3781e-01 -1.0074e+00 -5.5090e-01 -8.8886e-01 +1.7389e+00 -3.1388e+00 +8.9418e-01 +4.3334e-01 +2.7127e+00 +2.5289e+00 +1.0885e+00 -9.0315e-01 +2.2027e+00 -1.3916e+00 +1.3126e+00 +1.2174e+00 -5.7519e-01 -2.4022e+00
48 +6.881066567e+01 +6.881066567e+01 -9.311893343e+02 -9.311893343e+02 -2.5760e+00 +5.9581e-01 -5.1677e-01 -9.1137e-01 +1.0249e+00 -1.8528e+00 +8.5670e-01 -3.4064e+00 +2.3074e+00 +2.2655e+00 +5.2658e+00 +7.6296e-01 +1.9605e+00 -2.0225e+00 +1.2773e+00 -3.1613e+00 +1.7130e+00 +3.1694e+00 +1.9157e+00 -4.2948e+00
53 +6.741343388e+01 +6.741343388e+01 -9.325865661e+02 -9.325865661e+02 -2.1102e+00 +1.6801e+00 +2.7211e-01 -8.9412e-01 +1.6395e+00 -2.8251e+00 +1.0043e+00 -5.2337e+00 +2.4079e+00 +2.2428e+00 +4.8995e+00 +1.0323e+00 +1.3679e+00 -2.4030e+00 -1.8040e-01 -3.1958e+00 +2.8823e+00 +1.2433e+00 +1.6569e+00 -5.1008e+00
94 +6.494107722e+01 +6.494107722e+01 -9.350589228e+02 -9.350589228e+02 -7.2790e-01 -1.1747e+00 +2.7917e-01 -5.7499e-01 +2.0596e+00 -2.5585e+00 +1.9216e+00 -5.1187e+00 +3.1934e+00 +3.1262e+00 +3.8418e+00 -9.8189e-01 +1.2612e+00 +8.3051e-01 -7.4094e-01 -3.7871e+00 +4.2088e+00 -1.2701e+00 +1.5421e+00 -4.3867e+00
100 +6.163801726e+01 +6.163801726e+01 -9.383619827e+02 -9.383619827e+02 -8.3966e-01 -1.9704e-02 +8.8792e-01 -1.8327e+00 +8.8111e-01 -2.7684e+00 +2.5433e+00 -4.2642e+00 +3.3282e+00 +2.5826e+00 +5.1654e+00 -1.1353e-01 +1.2432e+00 +3.6971e-01 -2.4726e-01 -3.6716e+00 +4.2309e+00 -6.0555e-01 +1.7553e+00 -2.0719e+00
107 +5.977191847e+01 +5.977191847e+01 -9.402280815e+02 -9.402280815e+02 -1.1459e+00 -2.1244e-01 +1.0554e+00 -2.1129e+00 +1.3118e+00 -2.3946e+00 +2.6968e+00 -4.5331e+00 +1.5932e+00 +2.5037e+00 +5.7485e+00 +4.8693e-01 +6.6631e-01 +7.3274e-01 -4.8082e-01 -3.2667e+00 +4.0259e+00 +4.5194e-01 +8.1467e-01 -1.6703e+00
115 +5.264237314e+01 +5.264237314e+01 -9.473576269e+02 -9.473576269e+02 -2.0804e+00 -8.7487e-01 +9.9152e-01 -4.0020e+00 +8.7954e-01 -3.0014e+00 +3.1372e+00 -4.0215e+00 +2.0562e+00 +3.6241e+00 +6.1481e+00 +8.4741e-02 +6.6343e-01 +5.0140e-01 -7.3135e-02 -3.7017e+00 +3.7820e+00 +5.4043e-01 +7.5222e-01 -2.0854e+00
