% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.707168231e+01 +3.707168231e+01 +2.013168231e+01 +2.013168231e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +3.066004626e+01 +3.066004626e+01 +1.372004626e+01 +1.372004626e+01 +7.6759e-01 -1.0184e+00 -6.0839e-01 -4.4141e-01 +1.4092e+00 +2.4880e-01 -3.5615e-01 +6.5120e-01 +8.8805e-01 -1.8513e+00 +6.6235e-01 -1.7495e+00 -7.6280e-01 +6.3962e-01 +1.5609e-01 +1.1563e+00 +1.0156e-01 +2.2423e-01 +8.6145e-01 -2.4423e+00
3 +2.860783595e+01 +2.860783595e+01 +1.166783595e+01 +1.166783595e+01 -8.9977e-01 +9.9672e-01 -2.5568e-01 +5.7906e-02 +5.2588e-01 +2.7237e-01 -4.0796e-01 +5.5156e-01 -9.9726e-01 +6.7852e-01 +4.3747e-01 +1.1780e-01 -2.2249e-02 -1.2124e+00 +1.3612e+00 -1.0705e+00 -1.3733e+00 +1.8067e+00 +9.3898e-01 +1.2131e+00
6 +2.479540506e+01 +2.479540506e+01 +7.855405055e+00 +7.855405055e+00 +1.1382e+00 +7.9000e-01 -5.0077e-01 -9.5544e-01 -7.0208e-02 +2.2011e+00 +1.6954e+00 +1.2442e+00 -6.0317e-01 -9.5718e-02 -1.0636e+00 -1.7706e+00 -2.2090e-01 +2.8619e-01 +9.1373e-02 -8.7681e-01 +5.4020e-01 +1.0924e-01 +5.5174e-01 -9.2605e-02
11 +1.725078383e+01 +1.725078383e+01 +3.107838252e-01 +3.107838252e-01 +1.2606e-02 +1.4882e-01 -1.0975e+00 +4.0743e-01 +6.2495e-01 +5.6575e-01 +6.8684e-01 +1.1061e+00 +3.3513e-01 -7.3248e-01 +3.3479e-01 +9.5372e-01 +1.4750e-01 -1.7066e+00 -3.0055e-01 +1.9347e+00 +2.8234e+00 -6.0779e-02 -1.6263e+00 -9.5655e-01
13 +1.564138236e+01 +1.564138236e+01 -1.298617638e+00 -1.298617638e+00 +1.1465e+00 +8.1135e-01 -4.4986e-01 -2.8161e-02 +1.0487e+00 -7.7426e-02 +1.6573e+00 +3.3372e+00 -3.2734e-01 -2.0365e-01 +7.1549e-01 +1.9055e+00 +3.3768e-01 -6.0820e-01 -5.1197e-01 +1.0863e+00 +2.7005e+00 +1.2752e+00 -1.5561e+00 +9.5529e-02
23 +1.364657694e+01 +1.364657694e+01 -3.293423058e+00 -3.293423058e+00 +1.6052e+00 +1.0204e+00 -1.1898e+00 -3.9277e-01 +9.8380e-01 -1.3653e+00 +2.1660e+00 +3.5045e+00 +1.3562e-01 -1.2070e+00 +1.6227e+00 +2.7306e+00 -9.4770e-03 +1.3112e+00 -1.5498e-01 +2.7267e+00 +2.8144e+00 +2.1809e+00 -6.1740e-01 -7.0646e-01
24 +1.067049051e+01 +1.067049051e+01 -6.269509485e+00 -6.269509485e+00 +1.1264e+00 +9.1966e-01 -8.1795e-01 -1.0042e-01 +3.8157e-01 -6.5607e-01 +2.7569e+00 +2.1477e+00 +7.7732e-04 -3.2335e-02 +1.5408e+00 +2.0172e+00 -7.3176e-01 +3.2513e-01 +1.2019e+00 +1.0914e+00 +1.8832e+00 +1.2862e+00 -2.8643e+00 +4.9493e-01
62 +1.005019046e+01 +1.005019046e+01 -6.889809544e+00 -6.889809544e+00 +3.9164e+00 -5.5186e-01 -1.2736e+00 -4.7369e-01 +2.1840e+00 +1.4918e+00 +1.4558e+00 +5.7847e-01 -1.4553e-01 -6.0523e-01 +2.7350e+00 +4.1321e+00 -2.1209e+00 +4.3590e-01 +2.0006e+00 +1.3153e+00 +3.1396e+00 +1.1289e+00 -1.6249e+00 +1.0428e+00
64 +9.764149356e+00 +9.764149356e+00 -7.175850644e+00 -7.175850644e+00 +2.2883e+00 +1.5840e+00 -2.1607e+00 +3.4619e-01 +1.7925e+00 +1.2708e+00 +2.2098e+00 -5.0281e-01 +2.0592e-01 -2.6909e+00 +3.4425e+00 +4.7855e+00 -2.3773e+00 +4.4832e-01 +1.7478e+00 +1.5109e+00 +3.4968e+00 +1.4640e+00 -1.2393e+00 +1.4978e+00
74 +9.326361026e+00 +9.326361026e+00 -7.613638974e+00 -7.613638974e+00 +2.7537e+00 +2.0684e+00 -1.8076e+00 +3.5383e-01 +9.3936e-01 +1.2851e+00 +2.8025e+00 -6.1902e-01 +1.5848e+00 -3.1227e+00 +4.6249e+00 +3.8006e+00 -2.9996e+00 +3.9670e-01 +1.3278e+00 +1.8535e+00 +3.8945e+00 +2.2718e+00 -1.8640e+00 +3.3824e-02
79 +8.560377731e+00 +8.560377731e+00 -8.379622269e+00 -8.379622269e+00 +2.5821e+00 +1.5661e+00 -2.9325e+00 +3.3578e-01 +1.3476e+00 +5.5196e-01 +1.7365e+00 -3.8675e-01 -5.0785e-01 -3.2162e+00 +2.9840e+00 +4.0429e+00 -2.6272e+00 +1.3963e+00 +1.8138e+00 +3.0937e+00 +2.3560e+00 +1.5978e+00 -2.1632e+00 +9.8256e-01
88 +7.516819501e+00 +7.516819501e+00 -9.423180499e+00 -9.423180499e+00 +2.5577e+00 +1.8069e+00 -2.8545e+00 -1.1524e+00 +1.6611e+00 +1.4213e+00 +2.8509e+00 -1.1950e+00 -3.2815e-01 -4.1965e+00 +3.5070e+00 +4.3536e+00 -3.2149e+00 +2.4236e-01 +3.0420e+00 +3.0093e+00 +2.6686e+00 +2.0380e+00 -2.0883e+00 +1.5383e+00
243 +7.183725448e+00 +7.183725448e+00 -9.756274552e+00 -9.756274552e+00 +3.0903e+00 +1.7686e+00 -9.5155e-01 +9.4377e-01 +2.1795e+00 +1.0261e+00 +3.1193e+00 +1.7677e-01 -9.6848e-01 -1.6350e+00 +2.3712e+00 +4.0678e+00 -2.3707e+00 +1.1613e+00 +5.5040e-01 +2.1653e+00 +1.8271e+00 +1.5560e-01 -3.5105e-01 +6.2024e-01
258 +6.258690665e+00 +6.258690665e+00 -1.068130934e+01 -1.068130934e+01 +3.1988e+00 +1.5385e+00 -1.0769e+00 +4.8811e-01 +1.2520e+00 +1.0277e+00 +3.4965e+00 +1.6398e-01 -4.8076e-01 -1.7979e+00 +1.8912e+00 +3.4149e+00 -2.4714e+00 +1.0089e+00 +6.7702e-01 +2.3122e+00 +1.2219e+00 +1.1241e-01 -6.8851e-01 +7.9551e-01
273 +5.703319079e+00 +5.703319079e+00 -1.123668092e+01 -1.123668092e+01 +2.8821e+00 +2.6703e+00 -1.0198e+00 +3.2832e-01 +9.5133e-01 +1.6009e-01 +3.8719e+00 +7.7163e-01 -1.4353e-01 -2.1188e+00 +2.8273e+00 +2.4578e+00 -1.0231e+00 +9.1184e-01 +6.9910e-01 +2.1149e+00 +2.1944e+00 -1.0342e-01 -8.0641e-01 +9.2184e-01
331 +5.510631428e+00 +5.510631428e+00 -1.142936857e+01 -1.142936857e+01 +2.3967e+00 +1.7549e+00 -1.0006e+00 +5.2009e-01 +6.5350e-01 +7.6247e-01 +3.1342e+00 -1.6717e-01 +5.5938e-01 -2.2994e+00 +2.4641e+00 +5.8221e-01 -2.9391e+00 -4.3044e-01 +6.2083e-01 +2.2898e+00 +3.2764e+00 -4.8620e-01 -2.4201e-01 +2.2119e+00
333 +4.995784573e+00 +4.995784573e+00 -1.194421543e+01 -1.194421543e+01 +2.2451e+00 +1.8254e+00 -9.8003e-01 +7.2890e-01 +7.1921e-01 +1.4351e-01 +2.9756e+00 +5.6610e-02 +8.1426e-01 -2.5456e+00 +2.3937e+00 -3.5798e-01 -3.0969e+00 -1.8338e-01 +3.7290e-01 +2.5481e+00 +3.7563e+00 -1.1790e+00 +4.6123e-01 +2.3530e+00
338 +3.987998744e+00 +3.987998744e+00 -1.295200126e+01 -1.295200126e+01 +2.0896e+00 +1.6997e+00 -1.0668e+00 +9.6135e-01 +6.0447e-01 +5.2370e-01 +3.4209e+00 -3.8930e-01 +5.6604e-01 -2.1938e+00 +1.9647e+00 +7.8684e-01 -3.1002e+00 -2.5504e-01 +1.3838e+00 +3.0542e+00 +4.3287e+00 -6.2906e-01 +2.0374e-01 +1.7842e+00
362 +3.862157772e+00 +3.862157772e+00 -1.307784223e+01 -1.307784223e+01 +2.2983e+00 +1.9564e+00 -7.9685e-01 +2.1666e+00 +9.9272e-01 +2.2731e-01 +4.1940e+00 -1.3190e+00 +4.2695e-01 -2.2514e+00 +1.6196e+00 +1.5323e+00 -3.6944e+00 +3.2851e-01 +2.8157e+00 +2.8854e+00 +4.5300e+00 -2.0722e+00 -2.3156e-01 +1.2904e+00
412 +3.217847285e+00 +3.217847285e+00 -1.372215271e+01 -1.372215271e+01 +1.8721e+00 +1.3712e+00 -1.3245e+00 +2.1949e+00 +1.0016e+00 +4.2957e-01 +4.9542e+00 -8.2371e-01 +1.0763e+00 -2.8980e+00 +2.4111e+00 +1.0555e+00 -3.7312e+00 -7.2807e-01 +1.7456e+00 +3.6704e+00 +4.1042e+00 -1.4609e+00 -6.2677e-01 +1.4945e+00
460 +2.908052825e+00 +2.908052825e+00 -1.403194717e+01 -1.403194717e+01 +2.3602e+00 +1.5337e+00 -1.2867e+00 +1.6994e+00 +5.7048e-01 -4.9515e-01 +4.5008e+00 -1.0974e+00 +9.6841e-01 -2.6325e+00 +2.7976e+00 +1.3592e+00 -3.0934e+00 -1.3667e-02 +2.5545e+00 +4.0942e+00 +3.8768e+00 -1.6689e+00 -5.9238e-01 +1.4913e+00
480 +2.865522624e+00 +2.865522624e+00 -1.407447738e+01 -1.407447738e+01 +2.9712e+00 +2.2783e+00 -1.5823e+00 +1.9794e+00 +8.5838e-01 -7.4680e-01 +4.8414e+00 -1.4094e+00 +1.3456e+00 -3.0237e+00 +3.0520e+00 +7.0766e-01 -3.1058e+00 -2.2699e-01 +2.9219e+00 +4.6534e+00 +4.2094e+00 -1.9692e+00 -2.8514e-01 +1.8993e+00
491 +2.720405564e+00 +2.720405564e+00 -1.421959444e+01 -1.421959444e+01 +2.8240e+00 +2.2422e+00 -1.6079e+00 +1.8835e+00 +6.4135e-01 -9.2798e-01 +4.4506e+00 -1.6616e+00 +1.4387e+00 -3.0979e+00 +3.0272e+00 +8.1536e-01 -3.2103e+00 -6.5933e-02 +3.0956e+00 +4.4849e+00 +4.2250e+00 -1.9711e+00 -4.0739e-01 +1.8452e+00
529 +2.618814056e+00 +2.618814056e+00 -1.432118594e+01 -1.432118594e+01 +2.9548e+00 +2.6839e+00 -1.9115e+00 +1.7305e+00 +1.1528e+00 -1.2500e+00 +4.4049e+00 -6.9293e-01 +1.2786e+00 -2.4850e+00 +3.1171e+00 +1.1041e+00 -2.9071e+00 -8.6303e-01 +2.8869e+00 +4.2103e+00 +3.5009e+00 -1.4269e+00 +6.3513e-02 +1.6761e+00
533 +2.339317145e+00 +2.339317145e+00 -1.460068286e+01 -1.460068286e+01 +2.9771e+00 +2.8027e+00 -1.5771e+00 +1.5670e+00 +1.1954e+00 -1.4673e+00 +4.2737e+00 -1.1116e+00 +1.2324e+00 -2.7366e+00 +3.4186e+00 +1.0805e+00 -2.4290e+00 -8.5003e-01 +2.8243e+00 +4.6087e+00 +3.6734e+00 -1.3943e+00 +1.7747e-01 +1.6145e+00
535 +2.171422623e+00 +2.171422623e+00 -1.476857738e+01 -1.476857738e+01 +3.2858e+00 +2.6630e+00 -2.0705e+00 +1.7191e+00 +9.7393e-01 -1.5007e+00 +4.3802e+00 -8.8005e-01 +1.1120e+00 -2.3744e+00 +3.2212e+00 +8.0299e-01 -2.7830e+00 -7.3325e-01 +2.4678e+00 +4.5929e+00 +3.6917e+00 -1.7935e+00 -1.2004e-01 +2.0572e+00
549 +2.129957357e+00 +2.129957357e+00 -1.481004264e+01 -1.481004264e+01 +3.3551e+00 +2.5948e+00 -2.1652e+00 +1.7584e+00 +1.3465e+00 -1.1748e+00 +4.5088e+00 -1.1389e+00 +1.0735e+00 -2.6867e+00 +3.3560e+00 +1.2055e+00 -3.0040e+00 -6.6950e-01 +2.7109e+00 +4.2451e+00 +3.8121e+00 -1.9566e+00 -1.9599e-01 +2.1114e+00
574 +2.045466831e+00 +2.045466831e+00 -1.489453317e+01 -1.489453317e+01 +3.3506e+00 +2.9159e+00 -1.9019e+00 +1.4299e+00 +1.2411e+00 -1.6367e+00 +4.4820e+00 -9.6298e-01 +8.6706e-01 -2.4531e+00 +3.7837e+00 +6.0467e-01 -3.1385e+00 -1.1166e+00 +2.7339e+00 +4.2422e+00 +4.1199e+00 -1.3538e+00 -4.9232e-01 +1.9666e+00
577 +1.938626277e+00 +1.938626277e+00 -1.500137372e+01 -1.500137372e+01 +3.3832e+00 +2.9714e+00 -2.0104e+00 +1.4322e+00 +1.4866e+00 -1.4594e+00 +4.1022e+00 -1.0288e+00 +7.5831e-01 -2.6219e+00 +3.5926e+00 +5.4627e-01 -2.7344e+00 -9.0597e-01 +3.0509e+00 +4.0309e+00 +4.0129e+00 -1.8260e+00 -4.8947e-01 +2.2125e+00
582 +1.891313752e+00 +1.891313752e+00 -1.504868625e+01 -1.504868625e+01 +3.3481e+00 +2.9259e+00 -1.8027e+00 +1.4905e+00 +1.3605e+00 -1.5734e+00 +3.8809e+00 -1.2477e+00 +7.5383e-01 -2.4831e+00 +3.5590e+00 +4.9574e-01 -2.6683e+00 -6.9629e-01 +3.0513e+00 +3.9037e+00 +4.1999e+00 -2.0014e+00 -5.2418e-01 +2.5630e+00
601 +1.754470026e+00 +1.754470026e+00 -1.518552997e+01 -1.518552997e+01 +3.2271e+00 +2.6997e+00 -1.7713e+00 +1.4932e+00 +1.4018e+00 -1.3837e+00 +3.9351e+00 -1.5078e+00 +8.0901e-01 -2.4415e+00 +3.4218e+00 +4.6343e-01 -2.8756e+00 -5.1763e-01 +2.7909e+00 +3.9373e+00 +4.4294e+00 -1.8547e+00 -4.2366e-01 +2.6190e+00
603 +1.589529856e+00 +1.589529856e+00 -1.535047014e+01 -1.535047014e+01 +3.2458e+00 +2.7324e+00 -1.8240e+00 +1.3321e+00 +1.2358e+00 -1.7513e+00 +4.1754e+00 -1.8518e+00 +7.2134e-01 -2.3562e+00 +3.6115e+00 +3.4387e-01 -2.8300e+00 -3.4009e-01 +3.0908e+00 +4.0675e+00 +4.2330e+00 -1.8694e+00 -2.3154e-01 +2.7923e+00
627 +1.402295507e+00 +1.402295507e+00 -1.553770449e+01 -1.553770449e+01 +3.6344e+00 +2.5955e+00 -1.7591e+00 +1.1223e+00 +1.2732e+00 -1.3037e+00 +4.2814e+00 -1.7552e+00 +6.8377e-01 -2.2630e+00 +3.9268e+00 -2.9089e-02 -2.6755e+00 -2.7796e-01 +3.1271e+00 +4.0300e+00 +3.9233e+00 -2.0399e+00 -1.8226e-02 +2.4842e+00
