% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.831961742e+04 +1.831961742e+04 +1.777311742e+04 +1.777311742e+04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
4 +1.532098187e+04 +1.532098187e+04 +1.477448187e+04 +1.477448187e+04 +6.5690e-01 +3.5862e+00 -2.1722e-01 -5.2297e-01 -5.5573e-01 -3.2778e-01 +1.8767e+00 +1.4100e+00 -1.9481e+00 -9.1862e-01 -7.6661e-01 +6.3104e-01 +3.6931e-01 -1.1514e+00 -2.5904e-01 -1.2157e+00 -6.1054e-01 -1.0553e+00 +6.1533e-01 +1.2973e+00
18 +1.166338052e+04 +1.166338052e+04 +1.111688052e+04 +1.111688052e+04 +1.7285e-01 +3.9552e+00 -7.3875e-01 -4.0216e-01 -2.3488e+00 +3.5123e-01 +7.2858e-01 +1.2493e+00 -9.8713e-01 -3.0497e-01 -1.0888e+00 +5.3469e-01 -3.7829e-01 -1.3315e+00 -9.5353e-01 -1.4218e+00 +2.5283e-02 -1.0300e-01 -6.7027e-01 +1.2332e+00
27 +6.386353590e+03 +6.386353590e+03 +5.839853590e+03 +5.839853590e+03 -9.0997e-02 +2.4980e+00 -1.4130e+00 -1.5178e+00 -1.7261e+00 +1.6522e-01 +3.8705e-01 +1.8696e+00 -1.4009e+00 +6.7408e-02 -1.1954e+00 +1.5404e+00 +2.2660e-01 -1.2585e+00 -1.4322e-01 -1.6004e+00 +6.9543e-01 -3.6310e-01 -2.4314e-01 +6.4398e-01
71 +5.423995647e+03 +5.423995647e+03 +4.877495647e+03 +4.877495647e+03 +1.3534e+00 +6.5585e-01 +5.7638e-01 -1.9966e+00 -1.3232e+00 +2.0783e+00 -1.2724e+00 -3.5082e-01 -2.2732e+00 -1.9320e+00 +9.6759e-02 +1.1465e+00 -8.6849e-02 -3.2720e-01 +1.2947e-01 -5.5748e-01 +1.7021e+00 -1.6274e+00 -3.7834e-01 +2.1572e+00
90 +5.239337161e+03 +5.239337161e+03 +4.692837161e+03 +4.692837161e+03 +1.6455e+00 -6.8911e-02 +2.2825e+00 -2.4955e+00 -2.3166e+00 +1.4082e+00 -1.4459e+00 -2.4776e-01 -7.0596e-01 -1.6078e+00 -3.5154e-01 +1.6279e+00 +2.7562e-01 -5.6126e-01 +5.9560e-01 -7.4627e-01 +4.9935e-01 -1.8095e+00 -3.0803e-01 +2.2084e+00
102 +3.223974210e+03 +3.223974210e+03 +2.677474210e+03 +2.677474210e+03 +2.6064e+00 +1.7558e-01 +3.2236e+00 -1.8278e+00 -1.4698e+00 +1.1905e+00 -7.5897e-01 -1.8120e+00 -1.2026e+00 -9.9866e-01 +2.4678e-01 +9.1700e-01 +6.9856e-01 -3.5788e-01 +6.5862e-01 -1.2650e+00 +9.0416e-01 -1.9950e+00 -3.3038e-01 +7.3451e-01
105 +1.511474787e+03 +1.511474787e+03 +9.649747874e+02 +9.649747874e+02 +2.5068e+00 +1.2996e+00 +2.1482e+00 -2.2981e+00 -1.8014e+00 +1.0607e+00 -6.0095e-01 -5.8621e-01 -1.4921e+00 -1.0099e+00 -2.1068e-01 -1.5754e-02 +6.8067e-01 -7.0176e-01 +1.4666e+00 -1.5854e+00 +5.6811e-01 -2.6871e+00 -1.6922e+00 +1.5174e+00
122 +1.027894002e+03 +1.027894002e+03 +4.813940023e+02 +4.813940023e+02 +3.4218e+00 +1.3022e+00 +2.9429e+00 -1.3390e+00 -2.1988e+00 +5.9233e-01 -9.9482e-01 -4.2321e-01 -3.0812e+00 +2.3761e-02 +1.1185e-01 +1.3194e-01 +3.0815e-01 -7.5083e-01 +4.7744e-01 -1.5666e+00 +7.6699e-01 -2.2702e+00 -2.0741e+00 +1.7789e+00
131 +3.105745967e+02 +3.105745967e+02 -2.359254033e+02 -2.359254033e+02 +2.7400e+00 +2.2699e+00 +2.4487e+00 -1.9360e-01 -1.6202e+00 +3.5955e-02 -6.2814e-01 -5.4026e-01 -1.9645e+00 -4.2654e-02 +4.1185e-01 +1.1010e+00 +3.2118e-01 -2.8409e-01 +8.8297e-01 -1.6371e+00 +6.9212e-01 -1.6972e+00 -1.3064e+00 +2.3991e+00
206 +1.806069151e+02 +1.806069151e+02 -3.658930849e+02 -3.658930849e+02 +2.1881e+00 +3.4344e+00 +6.2860e-01 -3.6017e-01 -1.3535e+00 +4.8125e-01 -2.5568e+00 +1.1629e+00 -2.0561e+00 +1.2663e+00 +1.0063e+00 +3.6095e-01 +7.8422e-01 -1.0401e+00 +2.3240e+00 -8.2402e-01 +1.0902e+00 -9.9912e-01 -6.4698e-01 +1.2978e+00
215 +1.363460516e+02 +1.363460516e+02 -4.101539484e+02 -4.101539484e+02 +1.9597e+00 +3.5463e+00 +7.3874e-01 +5.9914e-01 -1.0846e+00 +5.4648e-01 -3.3483e+00 +9.6516e-01 -2.2752e+00 +6.6787e-01 +1.0591e+00 +9.3477e-01 +4.2005e-01 -1.2629e+00 +1.7844e+00 -3.5608e-01 +1.2980e+00 -1.6477e+00 -1.6256e+00 +7.1565e-01
220 +4.170647585e+01 +4.170647585e+01 -5.047935242e+02 -5.047935242e+02 +1.9704e+00 +2.7713e+00 +9.6868e-01 -1.3960e-01 -1.2569e+00 +4.8908e-01 -2.5708e+00 +2.1476e+00 -1.7303e+00 +1.2707e+00 +6.8648e-01 +4.4755e-01 +8.1858e-01 -1.4729e+00 +2.4128e+00 -1.2387e+00 +9.8283e-01 -1.4220e+00 -8.0457e-01 +1.2699e+00
242 +4.998171663e+00 +4.998171663e+00 -5.415018283e+02 -5.415018283e+02 +2.2845e+00 +3.3848e+00 +1.9409e+00 +4.8055e-01 -6.7510e-01 +1.5873e-01 -2.7816e+00 +1.6021e+00 -1.3115e+00 +2.0644e+00 +8.0006e-01 +4.0204e-01 +6.6786e-01 -1.0218e+00 +2.1671e+00 -3.0094e-01 +8.6146e-01 -1.3864e+00 -9.9374e-01 +2.4968e+00
252 +4.430114821e+00 +4.430114821e+00 -5.420698852e+02 -5.420698852e+02 +2.1059e+00 +3.1339e+00 +2.0461e+00 +7.0120e-01 -5.3067e-01 +5.0434e-01 -2.9988e+00 +8.8279e-01 -1.3143e+00 +2.2684e+00 +8.3581e-01 +6.8829e-01 +3.8180e-01 -4.9456e-01 +1.9931e+00 -3.1911e-01 +8.5078e-01 -1.0721e+00 -9.6665e-01 +2.0300e+00
270 +3.929056593e+00 +3.929056593e+00 -5.425709434e+02 -5.425709434e+02 +1.5974e+00 +2.3136e+00 +2.1269e+00 +7.2176e-01 -2.3938e-01 +1.8481e-01 -1.9714e+00 +7.7656e-01 -2.0725e+00 +2.0359e+00 +8.5157e-01 +7.6218e-01 +5.1934e-01 -9.2508e-01 +2.0298e+00 -2.6352e-01 +1.0238e+00 -1.3347e+00 -1.5951e+00 +1.9028e+00
293 +3.716285307e+00 +3.716285307e+00 -5.427837147e+02 -5.427837147e+02 +5.2031e-01 +2.2255e+00 +2.0178e+00 +6.5709e-01 -4.6906e-01 -1.2271e-01 -1.6815e+00 +4.0876e-01 -1.3477e+00 +1.1447e+00 +1.4006e+00 +4.0370e-01 +7.4980e-01 -5.7750e-01 +1.9717e+00 -9.9589e-01 +1.2899e+00 -1.3655e+00 -1.0867e+00 +1.6080e+00
332 +3.556584302e+00 +3.556584302e+00 -5.429434157e+02 -5.429434157e+02 +1.4455e+00 +1.3926e+00 +1.2045e+00 -1.4912e-01 -5.1849e-01 +3.5895e-01 -1.6196e+00 +8.8776e-01 -2.4089e+00 +1.9865e+00 +6.4746e-01 +7.7483e-01 +1.6203e+00 -9.6135e-01 +2.2896e+00 -7.2467e-01 +1.0368e+00 -9.8435e-01 -1.8881e+00 +1.7913e+00
421 +3.376358195e+00 +3.376358195e+00 -5.431236418e+02 -5.431236418e+02 -1.2553e-03 +6.4799e-01 +1.2772e+00 -1.2869e-01 -3.4594e-01 +1.0888e-01 -2.5872e+00 +2.0344e+00 -1.5164e+00 +1.0815e+00 +5.2691e-01 +5.2195e-01 +2.0485e+00 -7.6508e-01 +2.4854e+00 -1.1989e+00 +8.8933e-01 -7.9256e-01 -1.7229e+00 +1.1941e+00
509 +2.994281034e+00 +2.994281034e+00 -5.435057190e+02 -5.435057190e+02 +1.0812e+00 +1.9023e+00 +5.6391e-01 +6.7533e-02 -6.8404e-02 -6.2883e-01 -2.4848e+00 +2.0690e+00 -1.3592e+00 +7.5451e-01 +4.8679e-01 +6.8527e-01 +1.8613e+00 -6.3978e-01 +2.0984e+00 -8.8313e-01 +9.7860e-01 -2.3972e+00 -1.6046e+00 +1.4233e+00
1044 +2.926490479e+00 +2.926490479e+00 -5.435735095e+02 -5.435735095e+02 +2.3637e+00 +1.7094e+00 +1.1904e+00 -1.1297e+00 -3.8690e-01 -7.7041e-01 -2.4559e+00 +2.0014e+00 -2.2521e+00 +1.8386e-02 +7.3090e-01 +1.1792e+00 +8.3325e-01 -9.6586e-01 +1.0499e+00 -9.1581e-01 +1.0240e+00 -1.5403e+00 -2.2549e+00 +2.0584e+00
1106 +2.856893765e+00 +2.856893765e+00 -5.436431062e+02 -5.436431062e+02 +2.2375e+00 +1.4012e+00 +1.0207e+00 -9.5262e-01 -4.7619e-01 -5.8244e-01 -2.4485e+00 +2.0850e+00 -2.0041e+00 +3.2933e-01 +6.6988e-01 +1.0478e+00 +1.1880e+00 -6.8502e-01 +9.4275e-01 -9.6850e-01 +1.0132e+00 -1.6363e+00 -2.2297e+00 +1.7504e+00
1166 +2.781071661e+00 +2.781071661e+00 -5.437189283e+02 -5.437189283e+02 +1.7437e+00 +1.4532e+00 +8.8178e-01 -1.0234e+00 -2.9220e-01 -7.2075e-01 -2.4722e+00 +1.9605e+00 -2.3007e+00 +5.7488e-02 +6.9265e-01 +8.9790e-01 +1.5051e+00 -5.4187e-01 +9.9891e-01 -9.5445e-01 +1.1438e+00 -1.9477e+00 -2.1816e+00 +1.7460e+00
1205 +2.747333034e+00 +2.747333034e+00 -5.437526670e+02 -5.437526670e+02 +1.7441e+00 +1.4902e+00 +1.0470e+00 -8.9318e-01 -4.8443e-01 -5.2839e-01 -2.5671e+00 +2.0177e+00 -2.2333e+00 -1.4901e-01 +6.1512e-01 +1.0508e+00 +1.5120e+00 -6.5053e-01 +1.0376e+00 -9.5086e-01 +1.1110e+00 -1.8919e+00 -2.1309e+00 +1.7233e+00
1224 +2.607618995e+00 +2.607618995e+00 -5.438923810e+02 -5.438923810e+02 +1.6133e+00 +1.4324e+00 +1.1425e+00 -9.1670e-01 -5.0013e-01 -5.1243e-01 -2.5619e+00 +2.0082e+00 -2.1821e+00 -1.6947e-02 +6.6500e-01 +9.6739e-01 +1.4343e+00 -5.8268e-01 +1.2363e+00 -8.4347e-01 +1.1580e+00 -1.8935e+00 -2.1326e+00 +1.4541e+00
1255 +2.516938321e+00 +2.516938321e+00 -5.439830617e+02 -5.439830617e+02 +1.5886e+00 +1.4598e+00 +1.3413e+00 -7.4028e-01 -4.2849e-01 -5.4502e-01 -2.4239e+00 +2.0909e+00 -2.0697e+00 +5.1269e-02 +5.6942e-01 +1.0168e+00 +1.5817e+00 -5.5808e-01 +1.2730e+00 -9.1532e-01 +1.0510e+00 -1.8250e+00 -2.1409e+00 +1.5907e+00
1266 +2.427389388e+00 +2.427389388e+00 -5.440726106e+02 -5.440726106e+02 +1.4343e+00 +1.4183e+00 +1.2763e+00 -7.2461e-01 -4.7189e-01 -5.3976e-01 -2.3884e+00 +2.0699e+00 -2.0831e+00 +5.4859e-02 +6.6608e-01 +1.0065e+00 +1.5986e+00 -5.4206e-01 +1.3040e+00 -8.7920e-01 +1.0340e+00 -1.8310e+00 -2.2137e+00 +1.6771e+00
1268 +2.342087346e+00 +2.342087346e+00 -5.441579127e+02 -5.441579127e+02 +1.5640e+00 +1.3668e+00 +1.4173e+00 -7.7469e-01 -4.3162e-01 -5.6043e-01 -2.4287e+00 +2.0633e+00 -2.0446e+00 +1.0901e-01 +6.1378e-01 +9.9893e-01 +1.4887e+00 -5.6614e-01 +1.2814e+00 -9.0479e-01 +1.0659e+00 -1.7630e+00 -2.1657e+00 +1.5648e+00
1374 +2.254281173e+00 +2.254281173e+00 -5.442457188e+02 -5.442457188e+02 +1.5851e+00 +1.3660e+00 +1.2928e+00 -8.6323e-01 -3.8568e-01 -6.3969e-01 -2.4197e+00 +2.0483e+00 -2.0583e+00 +4.0072e-01 +5.7502e-01 +1.0671e+00 +1.2776e+00 -6.4211e-01 +1.3121e+00 -8.6162e-01 +1.0665e+00 -1.6219e+00 -2.2630e+00 +1.4888e+00
