% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.124201902e+02 +9.124201902e+02 +4.503301902e+02 +4.503301902e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
22 +7.401359404e+02 +7.401359404e+02 +2.780459404e+02 +2.780459404e+02 +1.2270e+00 -4.4350e+00 -1.2424e+00 -3.7749e-01 +9.5709e-01 +1.0920e+00 +2.7422e+00 +1.6823e+00 +3.2381e+00 -4.6418e-01 -1.5681e+00 -2.1388e+00 -2.9844e+00 -8.4707e-01 +1.8307e+00 -8.8097e-01 -2.5016e-01 -3.8723e-01 -1.6451e+00 -6.9557e-01
34 +6.877445123e+02 +6.877445123e+02 +2.256545123e+02 +2.256545123e+02 +3.6683e-01 -3.9016e+00 +3.2641e-01 -8.8160e-01 +1.6272e+00 -1.4088e+00 +2.6485e+00 +1.2889e+00 +2.9541e+00 -2.0011e+00 -1.4222e+00 -1.1785e+00 -3.0604e+00 -7.5137e-01 +3.8431e-01 -1.0403e+00 -2.1525e+00 -7.4809e-01 -1.8146e+00 -7.1193e-01
44 +6.077153900e+02 +6.077153900e+02 +1.456253900e+02 +1.456253900e+02 +9.5406e-01 -3.2963e+00 +1.8737e-01 -2.6530e-01 +6.7182e-01 -8.1505e-01 +2.3863e+00 +1.1391e+00 +3.1335e+00 -2.9320e+00 -7.9420e-01 -1.3571e+00 -2.7935e+00 -1.1104e-01 +3.0919e-01 -1.7450e+00 -1.1073e+00 -9.2365e-02 -9.1028e-01 +3.4609e-01
75 +5.869391114e+02 +5.869391114e+02 +1.248491114e+02 +1.248491114e+02 -3.0533e-01 -4.8423e-01 +1.4323e+00 +4.5685e-01 +3.4922e-02 -2.2590e+00 +2.6530e+00 +2.7632e+00 +3.1539e+00 -2.2321e+00 -1.8999e+00 -1.5512e+00 -1.3690e+00 +3.9504e-01 -7.0877e-01 -1.7056e+00 +3.1170e-01 -6.9944e-01 -1.1405e+00 +3.5353e-01
110 +5.374238016e+02 +5.374238016e+02 +7.533380162e+01 +7.533380162e+01 -6.5682e-01 -1.2252e+00 +3.4182e+00 +4.7106e-01 +8.5817e-01 -9.4289e-01 +3.2168e+00 +3.8106e+00 +2.3668e+00 -4.0968e+00 -1.5814e+00 -1.9923e+00 -5.4729e-01 -4.2461e-01 -8.1572e-01 -2.1053e+00 -2.2001e+00 -7.7581e-01 -1.8384e+00 +9.3130e-01
118 +4.878606932e+02 +4.878606932e+02 +2.577069325e+01 +2.577069325e+01 +3.2677e-01 -2.0816e+00 +3.3599e+00 +1.0728e-01 +7.2621e-01 -1.4834e-01 +3.3271e+00 +3.2567e+00 +2.2642e+00 -3.4121e+00 -2.0640e+00 -1.8760e+00 -4.4878e-01 -4.5294e-01 -1.4717e+00 -1.6654e+00 -2.1682e+00 +7.5858e-02 -1.1800e+00 +5.6372e-01
124 +4.762411104e+02 +4.762411104e+02 +1.415111036e+01 +1.415111036e+01 +9.0647e-01 -3.3986e+00 +2.7088e+00 +8.9789e-01 +3.0624e-01 +2.0920e-01 +2.4657e+00 +4.5375e+00 +2.7978e+00 -2.0018e+00 -2.2105e+00 -1.5110e+00 -9.4739e-01 -1.0113e+00 -1.3828e+00 -2.0597e+00 -2.0727e+00 +4.2310e-01 -1.7515e+00 -5.4767e-02
136 +4.332678300e+02 +4.332678300e+02 -2.882217001e+01 -2.882217001e+01 +8.4414e-02 -2.8487e+00 +1.9966e+00 +1.9217e-01 +9.1996e-01 +9.3984e-01 +3.8419e+00 +4.5695e+00 +2.3720e+00 -2.2546e+00 -2.7205e+00 -6.1865e-01 -7.4186e-01 -1.3155e+00 -1.8062e+00 -2.1945e+00 -1.0059e+00 +1.7337e-01 -1.9184e+00 +8.3941e-01
144 +3.854337593e+02 +3.854337593e+02 -7.665624072e+01 -7.665624072e+01 -1.0098e+00 -2.6961e+00 +3.0845e+00 +2.6710e-01 +1.0341e+00 +5.4013e-01 +3.7313e+00 +6.0117e+00 +3.4342e+00 -2.0308e+00 -2.3970e+00 -7.3427e-01 -7.4744e-01 -1.7084e+00 -1.7834e+00 -3.4039e+00 -7.0123e-01 +9.0847e-01 -2.4635e+00 +1.2462e+00
